transaction_id,account_id,transaction_date,amount,currency,transaction_type,merchant_id
1.0,1.0,2025-01-09,86.1,JPY,withdrawal,a107cc46-8634-4718-aba6-adb37afeb114
2.0,1.0,2025-02-17,451.06,JPY,deposit,2999bbef-518b-4f21-9cf2-0859ee6e2e72
3.0,1.0,2024-05-04,610.02,EUR,withdrawal,7eb162f1-4806-4804-8cf0-374c0c74dc0f
4.0,1.0,2025-03-23,157.9,USD,transfer,cb7e6268-5f89-4d12-a4d6-dfbf18c01e2b
5.0,1.0,2024-01-25,error,IDR,transfer,44790612-1f5d-488f-b76a-bf093de28859
6.0,1.0,2024-09-22,923.99,EUR,transfer,3f8ea40a-6b0a-40e3-9d89-6047dd39d793
7.0,1.0,2024-12-25,647.99,USD,purchase,c35bec2c-3098-47b2-900e-15c0b89bdf7f
8.0,1.0,2023-12-18,595.45,JPY,purchase,f05eeefe-8ece-4128-96ce-4b42fc9e1dcb
9.0,1.0,2024-06-18,700.03,JPY,transfer,18c8a616-2410-4e9a-bf77-9cae7318b96d
10.0,1.0,2024-06-02,889.53,USD,purchase,f778c676-750d-412e-8164-ceec64ab851b
11.0,1.0,2024-05-28,836.12,IDR,purchase,9561c813-0d25-4caa-b8ad-ad873a4045dd
12.0,1.0,2023-12-28,471.03,EUR,transfer,4cbf131d-901b-4def-b56f-f8ce7d66971e
13.0,1.0,2024-08-01,969.09,IDR,purchase,c35bec2c-3098-47b2-900e-15c0b89bdf7f
14.0,1.0,2024-10-20,693.98,AUD,purchase,f05eeefe-8ece-4128-96ce-4b42fc9e1dcb
15.0,1.0,2024-07-10,253.15,AUD,purchase,fada98f5-1c0f-4bdc-ac7e-937c54cc1e2a
16.0,1.0,2025-04-12,462.51,AUD,transfer,4cbf131d-901b-4def-b56f-f8ce7d66971e
17.0,1.0,2025-01-13,52.56,IDR,transfer,b023a0ea-df41-4335-b9ae-d8e4e61599c8
18.0,1.0,2024-12-28,29.84,EUR,deposit,53f591dc-23c8-4fdb-83f8-2f16e4a4474c
18.0,1.0,2024-12-28,29.84,EUR,deposit,53f591dc-23c8-4fdb-83f8-2f16e4a4474c
19.0,1.0,2024-08-14,408.58,USD,transfer,3f8ea40a-6b0a-40e3-9d89-6047dd39d793
20.0,2.0,2024-09-14,498.88,IDR,transfer,32f57510-24ee-44a6-8145-65c75d986115
21.0,2.0,2025-07-30,244.49,AUD,withdrawal,44790612-1f5d-488f-b76a-bf093de28859
22.0,2.0,2024-07-15,790.22,AUD,deposit,bbf483ce-51be-480e-b7e6-a14cdc8a4922
23.0,2.0,2024-05-02,299.26,JPY,withdrawal,cb7e6268-5f89-4d12-a4d6-dfbf18c01e2b
24.0,2.0,2025-06-30,345.78,JPY,deposit,4efc8248-e10b-4a47-bfae-b7487781321e
25.0,2.0,2024-07-02,239.57,JPY,purchase,ba3df7ff-43b4-4ee5-a1e8-9e7e22498f66
26.0,2.0,2024-08-24,705.52,EUR,transfer,5edbb8ee-c2ba-40e0-a179-e3f066124ab4
27.0,2.0,2024-09-03,965.39,JPY,purchase,79474bfa-cdd0-44d4-9542-27deb6adf48b
28.0,2.0,2024-12-07,16.33,EUR,purchase,32f57510-24ee-44a6-8145-65c75d986115
29.0,2.0,2025-04-26,265.76,USD,deposit,cbf81f86-4ec3-4970-956d-80e46aa26216
30.0,2.0,2024-12-10,380.63,JPY,purchase,88476c56-827c-4f8c-940a-c5e981df6517
31.0,2.0,2025-03-10,631.53,USD,transfer,6257a4a2-f204-4e89-8a4b-55630cf477ef
32.0,2.0,2024-02-10,704.19,IDR,purchase,5edbb8ee-c2ba-40e0-a179-e3f066124ab4
33.0,2.0,2024-07-19,57.06,EUR,transfer,2999bbef-518b-4f21-9cf2-0859ee6e2e72
34.0,3.0,2025-06-30,170.81,AUD,withdrawal,80051b10-66c1-4dca-8255-da619a3b0319
35.0,3.0,2024-02-20,143.97,IDR,purchase,f05eeefe-8ece-4128-96ce-4b42fc9e1dcb
36.0,3.0,2024-03-06,677.93,IDR,deposit,4cbf131d-901b-4def-b56f-f8ce7d66971e
37.0,3.0,2025-06-19,690.62,JPY,transfer,6257a4a2-f204-4e89-8a4b-55630cf477ef
38.0,3.0,2025-07-19,572.35,IDR,purchase,fada98f5-1c0f-4bdc-ac7e-937c54cc1e2a
39.0,3.0,2025-02-14,9.09,USD,transfer,896490ab-4926-4e5f-b878-6140ac2a4f71
40.0,3.0,2024-12-28,,EUR,deposit,cbf81f86-4ec3-4970-956d-80e46aa26216
41.0,3.0,2024-12-17,767.7,USD,purchase,6e51484d-1b84-4dc3-98e0-49de0217ea0e
42.0,3.0,2024-07-23,34.33,IDR,deposit,93dfd907-9416-44dc-86b2-8deff8d8b7f1
43.0,3.0,2024-07-16,201.59,IDR,deposit,c35bec2c-3098-47b2-900e-15c0b89bdf7f
44.0,3.0,2024-09-13,824.87,IDR,purchase,f05eeefe-8ece-4128-96ce-4b42fc9e1dcb
45.0,3.0,2025-06-14,141.62,JPY,deposit,18c8a616-2410-4e9a-bf77-9cae7318b96d
46.0,3.0,2025-01-09,14.9,IDR,transfer,4cbf131d-901b-4def-b56f-f8ce7d66971e
47.0,3.0,2025/88/77,109.24,AUD,deposit,88476c56-827c-4f8c-940a-c5e981df6517
48.0,3.0,2024-09-23,64.15,IDR,transfer,3f8ea40a-6b0a-40e3-9d89-6047dd39d793
49.0,4.0,2024-09-01,305.06,AUD,withdrawal,8116e3fc-62e7-41a6-92d2-fa0649e1cd13
50.0,4.0,2025-05-16,670.82,JPY,withdrawal,ae2e9af9-9f8c-429f-bd35-0c5fd3479a3b
51.0,4.0,2024-05-15,833.86,IDR,purchase,b023a0ea-df41-4335-b9ae-d8e4e61599c8
52.0,4.0,2024-04-09,443.94,USD,deposit,9b33e3a4-2620-49a9-b4fd-33d184f2fd0f
53.0,4.0,2025-02-16,645.18,USD,transfer,18c8a616-2410-4e9a-bf77-9cae7318b96d
54.0,4.0,2025/88/77,642.06,IDR,withdrawal,28e213bc-e6fd-47af-9d84-caccf6729464
55.0,4.0,2023-08-31,206.0,AUD,withdrawal,f778c676-750d-412e-8164-ceec64ab851b
56.0,4.0,2025/88/77,,EUR,withdrawal,9b33e3a4-2620-49a9-b4fd-33d184f2fd0f
57.0,4.0,2025/88/77,175.32,USD,deposit,5a575539-9556-4a2d-b713-b4663da06476
58.0,4.0,2025-06-06,16.77,JPY,purchase,93dfd907-9416-44dc-86b2-8deff8d8b7f1
59.0,4.0,2024-11-22,448.83,JPY,withdrawal,88476c56-827c-4f8c-940a-c5e981df6517
60.0,5.0,2025-01-28,302.33,JPY,transfer,f99f0704-20f0-456a-9e6a-66289c6d52d5
61.0,5.0,2024-01-04,490.78,USD,deposit,561c9210-97fe-46c5-8c9a-9f24d7b4c294
62.0,5.0,2025-03-28,127.07,IDR,transfer,561c9210-97fe-46c5-8c9a-9f24d7b4c294
63.0,5.0,2024-02-15,454.26,USD,withdrawal,f99f0704-20f0-456a-9e6a-66289c6d52d5
64.0,5.0,2024-09-14,229.27,JPY,,ba3df7ff-43b4-4ee5-a1e8-9e7e22498f66
65.0,5.0,2024-02-15,665.44,JPY,purchase,18c8a616-2410-4e9a-bf77-9cae7318b96d
66.0,5.0,2023-10-19,94.14,EUR,purchase,bd44089d-9dd2-49de-bd98-fe336498abe9
67.0,5.0,2025-01-23,562.12,JPY,purchase,896490ab-4926-4e5f-b878-6140ac2a4f71
68.0,5.0,2024-01-22,352.29,JPY,withdrawal,6257a4a2-f204-4e89-8a4b-55630cf477ef
69.0,5.0,2023-09-07,556.71,EUR,transfer,53f591dc-23c8-4fdb-83f8-2f16e4a4474c
70.0,5.0,2025-05-23,818.61,USD,deposit,f9b21e6e-586a-446a-9c5b-e7d1fcef1972
71.0,5.0,2024-01-12,703.0,USD,withdrawal,93e34c35-ef0a-473d-93d2-d56dd0401587
72.0,5.0,2024-01-18,401.38,USD,purchase,93dfd907-9416-44dc-86b2-8deff8d8b7f1
73.0,5.0,2023-10-13,376.82,IDR,deposit,a107cc46-8634-4718-aba6-adb37afeb114
74.0,5.0,2024-03-29,596.63,AUD,purchase,cbf81f86-4ec3-4970-956d-80e46aa26216
75.0,5.0,2024-07-11,443.67,JPY,deposit,f1fac6e7-170d-4507-85ee-e1d47f53a88e
76.0,5.0,2024-12-10,114.7,AUD,transfer,79474bfa-cdd0-44d4-9542-27deb6adf48b
77.0,5.0,2023-11-09,46.37,USD,withdrawal,6e51484d-1b84-4dc3-98e0-49de0217ea0e
78.0,5.0,2025-07-06,767.58,USD,purchase,80051b10-66c1-4dca-8255-da619a3b0319
79.0,5.0,2025-07-15,176.52,AUD,deposit,44790612-1f5d-488f-b76a-bf093de28859
80.0,5.0,2023-11-24,742.3,USD,deposit,2999bbef-518b-4f21-9cf2-0859ee6e2e72
81.0,5.0,2024-11-20,405.02,JPY,purchase,ba3df7ff-43b4-4ee5-a1e8-9e7e22498f66
82.0,5.0,2025-05-05,947.67,IDR,purchase,f99f0704-20f0-456a-9e6a-66289c6d52d5
83.0,5.0,2024-07-13,244.07,JPY,deposit,93dfd907-9416-44dc-86b2-8deff8d8b7f1
,5.0,2024-11-18,333.74,USD,withdrawal,a107cc46-8634-4718-aba6-adb37afeb114
85.0,5.0,2025-02-03,727.65,EUR,purchase,93e34c35-ef0a-473d-93d2-d56dd0401587
86.0,6.0,2024-02-26,602.8,EUR,transfer,f05eeefe-8ece-4128-96ce-4b42fc9e1dcb
87.0,6.0,2024-02-25,760.12,AUD,deposit,4cbf131d-901b-4def-b56f-f8ce7d66971e
88.0,6.0,2023-09-13,440.32,IDR,purchase,91fdfa4f-0d18-4b95-a68c-84770b95017c
89.0,6.0,2025-02-12,311.1,IDR,purchase,5e4cb287-0442-41db-90d4-ea6779928faa
90.0,6.0,2024-11-19,855.44,JPY,purchase,cb7e6268-5f89-4d12-a4d6-dfbf18c01e2b
91.0,6.0,2024-01-17,572.09,AUD,withdrawal,51b1943c-1b2e-4edb-8fc8-5fc083d5bceb
92.0,6.0,2025-01-21,811.16,USD,withdrawal,5edbb8ee-c2ba-40e0-a179-e3f066124ab4
93.0,6.0,2025-04-13,438.32,EUR,deposit,8da00495-5cce-4ba9-b1d4-ee098fd33afc
94.0,6.0,2023-08-28,388.03,USD,deposit,44790612-1f5d-488f-b76a-bf093de28859
95.0,6.0,2025-06-04,558.41,AUD,withdrawal,5dae1201-673b-48bd-838c-1dec5da39a73
96.0,6.0,2024-06-01,663.95,JPY,withdrawal,
97.0,6.0,2025-04-04,85.63,IDR,withdrawal,fada98f5-1c0f-4bdc-ac7e-937c54cc1e2a
98.0,6.0,2025-06-13,947.16,USD,transfer,2314d0c8-09f6-4405-8b99-00340a4e2552
99.0,6.0,2023-08-27,363.24,JPY,withdrawal,f778c676-750d-412e-8164-ceec64ab851b
100.0,6.0,2025-04-03,155.79,AUD,purchase,fada98f5-1c0f-4bdc-ac7e-937c54cc1e2a
101.0,7.0,2025-02-26,131.92,AUD,withdrawal,c86c6544-a7d4-4f50-b791-f1e543f9cd6b
102.0,7.0,2023-12-15,411.45,JPY,deposit,9561c813-0d25-4caa-b8ad-ad873a4045dd
103.0,7.0,2025-01-29,449.48,JPY,withdrawal,8da00495-5cce-4ba9-b1d4-ee098fd33afc
104.0,7.0,2025-04-29,570.85,JPY,,c35bec2c-3098-47b2-900e-15c0b89bdf7f
105.0,7.0,2024-02-28,801.46,JPY,deposit,53f591dc-23c8-4fdb-83f8-2f16e4a4474c
106.0,7.0,2023-08-28,711.69,USD,withdrawal,a77d95f1-d7c4-4e9c-a1e0-fffc98f6fd7f
107.0,7.0,2024-03-06,513.84,EUR,transfer,91fdfa4f-0d18-4b95-a68c-84770b95017c
108.0,7.0,2024-10-14,415.48,JPY,purchase,8da00495-5cce-4ba9-b1d4-ee098fd33afc
109.0,7.0,2025-06-09,319.37,IDR,withdrawal,28e213bc-e6fd-47af-9d84-caccf6729464
110.0,7.0,2024-04-01,917.48,JPY,transfer,88476c56-827c-4f8c-940a-c5e981df6517
110.0,7.0,2024-04-01,917.48,JPY,transfer,88476c56-827c-4f8c-940a-c5e981df6517
111.0,7.0,2024-06-28,80.15,AUD,transfer,3f8ea40a-6b0a-40e3-9d89-6047dd39d793
112.0,7.0,2024-11-11,238.4,AUD,transfer,44790612-1f5d-488f-b76a-bf093de28859
113.0,7.0,2025/88/77,905.24,AUD,withdrawal,797ebe87-98cf-4188-86d2-5913a1173719
114.0,7.0,2025-05-12,429.81,JPY,withdrawal,fada98f5-1c0f-4bdc-ac7e-937c54cc1e2a
115.0,7.0,2023-11-07,523.96,AUD,purchase,8116e3fc-62e7-41a6-92d2-fa0649e1cd13
116.0,7.0,2024-08-03,44.49,USD,deposit,44790612-1f5d-488f-b76a-bf093de28859
117.0,7.0,2024-02-16,733.21,IDR,withdrawal,5edbb8ee-c2ba-40e0-a179-e3f066124ab4
118.0,7.0,2025-03-14,339.21,JPY,transfer,4cbf131d-901b-4def-b56f-f8ce7d66971e
119.0,7.0,2024-03-29,135.72,USD,deposit,4efc8248-e10b-4a47-bfae-b7487781321e
120.0,7.0,2025-01-16,error,AUD,transfer,9b33e3a4-2620-49a9-b4fd-33d184f2fd0f
121.0,7.0,2024-11-16,37.58,USD,deposit,a77d95f1-d7c4-4e9c-a1e0-fffc98f6fd7f
122.0,7.0,2025-01-07,368.65,JPY,deposit,83c501cb-fef7-49ea-bf8e-548328caaa1d
123.0,7.0,2023-08-11,498.03,USD,transfer,18c8a616-2410-4e9a-bf77-9cae7318b96d
124.0,7.0,2024-04-03,995.1,USD,purchase,ba3df7ff-43b4-4ee5-a1e8-9e7e22498f66
